graph_name,parent_name,source,pickle_path,opt_sum,n,m,density,planar,bipartite,radius,diameter,node_connectivity,degree_min,degree_max,degree_p25,degree_p50,degree_p75,closeness_centrality_min,closeness_centrality_max,closeness_centrality_p25,closeness_centrality_p50,closeness_centrality_p75,betweenness_centrality_min,betweenness_centrality_max,betweenness_centrality_p25,betweenness_centrality_p50,betweenness_centrality_p75,degree_centrality_min,degree_centrality_max,degree_centrality_p25,degree_centrality_p50,degree_centrality_p75,clustering_min,clustering_max,clustering_p25,clustering_p50,clustering_p75,transitivity,katz_centrality_min,katz_centrality_max,katz_centrality_p25,katz_centrality_p50,katz_centrality_p75,pagerank_min,pagerank_max,pagerank_p25,pagerank_p50,pagerank_p75,treewidth_min_fill_in,treewidth_min_degree,LB
smallworld-0832-60-400-1194.al_21,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_21.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_22,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_22.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_23,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_23.pickle,,350,1019,0.008342202210397052,False,False,7,12,1,2,12,4.0,6.0,7.0,0.12993298585256888,0.23693143245078072,0.17168879419508573,0.18643167713118114,0.20193838964398175,0.0003407577832041818,0.050131795317134735,0.005980547914861474,0.011048202623142173,0.01751849368972068,0.0057306590257879654,0.034383954154727794,0.011461318051575931,0.017191977077363897,0.020057306590257878,0.0,0.16666666666666666,0.0,0.0,0.0,0.008659638554216868,0.04175151510261012,0.07841258258911764,0.047599034009439906,0.052489016439703946,0.05812504713934366,0.0005638511130492195,0.009915953675144668,0.0016368704762787407,0.0026077938410644166,0.0038407758460809833,116,117,16
smallworld-0832-60-400-1194.al_24,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_24.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_25,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_25.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_26,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_26.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_27,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_27.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_28,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_28.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_29,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_29.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_30,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_30.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_31,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_31.pickle,,3,3,0.5,True,False,2,2,1,2,2,2.0,2.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,2,1
smallworld-0832-60-400-1194.al_32,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_32.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_33,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_33.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_34,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_34.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_35,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_35.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_36,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_36.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_37,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_37.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_38,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_38.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_39,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_39.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_40,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_40.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_41,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_41.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_42,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_42.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_43,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_43.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_44,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_44.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_45,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_45.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_46,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_46.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_47,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_47.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallworld-0832-60-400-1194.al_48,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_48.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_0,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_0.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_1,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_1.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_2,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_2.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_3,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_3.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_4,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_4.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_5,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_5.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_6,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_6.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_7,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_7.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_8,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_8.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_9,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_9.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_10,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_10.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_11,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_11.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_12,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_12.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_13,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_13.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_14,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_14.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_15,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_15.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_16,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_16.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_17,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_17.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_18,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_18.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_19,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_19.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_20,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_20.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_21,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_21.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_22,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_22.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_23,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_23.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_24,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_24.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_25,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_25.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_26,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_26.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_27,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_27.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_28,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_28.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_29,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_29.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_30,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_30.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_31,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_31.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_32,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_32.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_33,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_33.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_34,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_34.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_35,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_35.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_36,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_36.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_37,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_37.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_38,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_38.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_39,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_39.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_40,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_40.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_41,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_41.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_42,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_42.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_43,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_43.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_44,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_44.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_45,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_45.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_46,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_46.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_47,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_47.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_48,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_48.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_49,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_49.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_50,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_50.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_51,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_51.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_52,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_52.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_53,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_53.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_54,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_54.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_55,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_55.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_56,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_56.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_57,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_57.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_58,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_58.pickle,,289,611,0.007340926566705114,False,False,10,17,1,2,10,3.0,4.0,5.0,0.08266360505166476,0.20930232558139536,0.13451658103689865,0.15047021943573669,0.16289592760180996,0.00016937669376693767,0.14014641956128002,0.008146759720148222,0.01591651226886418,0.02735750945590522,0.006944444444444444,0.034722222222222224,0.010416666666666666,0.013888888888888888,0.017361111111111112,0.0,0.16666666666666666,0.0,0.0,0.0,0.005893909626719057,0.05098017156483049,0.10217479082599883,0.05214937669513959,0.05731133786493134,0.06267282355173698,0.0007274411728322742,0.018716265092863848,0.0017099718433427238,0.002848097834003435,0.004204710220267164,64,62,16
random-1430-400-840.al_59,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_59.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_60,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_60.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_61,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_61.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_62,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_62.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_63,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_63.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_64,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_64.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_65,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_65.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_66,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_66.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_67,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_67.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_68,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_68.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_69,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_69.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_70,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_70.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_71,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_71.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_72,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_72.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_73,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_73.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random-1430-400-840.al_74,random-1430-400-840.al,FASP-benchmarks,pickles/random-1430-400-840.al_74.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
